AnnualAverageWaterLevel,AnnualMaximumDailyWaterLevel,AnnualMaximumMomentWaterLevel,AnnualMinimumDailyWaterLevel,AnnualMinimumMomentWaterLevel,AnnualOccurredDateOfMaximumDailyWaterLevel,AnnualOccurredDateOfMinimumDailyWaterLevel,AnnualOccurredTimeOfMaximumMomentWaterLevel,AnnualOccurredTimeOfMinimumMomentWaterLevel,WellIdentifier,Year
"-21.78","-17.81","-17.80","-26.40","-26.62","1206","0304","120615","030416","11170231","2016"
"-24.45","-18.57","-18.47","-29.65","-29.78","0104","0320","010506","032018","11170231","2017"
"-27.73","-22.02","-21.99","-34.43","-34.46","0110","0607","011006","060701","11170231","2018"
"-26.76","-21.34","-21.29","-33.36","-33.42","0925","0407","092511","041022","11170231","2019"
"0.09","0.92","0.94","-0.90","-0.90","0729","0212","072909","021220","11170311","2008"
"-0.10","1.14","1.21","-0.99","-1.00","0809","0216","080913","021611","11170311","2009"
"0.00","0.97","0.99","-0.97","-0.98","0728","0215","072716","021518","11170311","2010"
"-0.04","0.87","0.88","-0.87","-0.87","0721","0516","072103","051519","11170311","2011"
"0.02","0.88","0.90","-0.83","-0.86","0811","0206","081108","021218","11170311","2012"
"0.01","1.02","1.05","-0.96","-0.96","0831","0214","083116","021401","11170311","2013"
"-0.05","0.98","1.02","-1.04","-1.05","0812","0207","081212","020722","11170311","2014"
"-0.04","1.03","1.06","-1.22","-1.23","0827","0218","082702","021803","11170311","2015"
"0.28","0.96","1.11","-0.51","-0.52","0929","1231","020605","123111","11170311","2016"
"-0.26","0.84","0.85","-1.18","-1.20","0904","0214","090418","021421","11170311","2017"
"-0.26","1.27","1.33","-1.49","-1.52","0824","0528","082413","052823","11170311","2018"
"0.11","1.20","1.22","-1.14","-1.15","0720","0212","072004","021118","11170311","2019"
"-15.86","-14.22","-14.21","-20.49","-20.66","1016","0526","101610","052606","11170321","2008"
"-16.36","-14.50","-14.44","-19.80","-20.26","0101","0511","010101","051108","11170321","2009"
"-16.40","-13.90","-13.88","-20.29","-20.48","1124","0523","112414","051709","11170321","2010"
"-16.65","-14.48","-14.43","-18.78","-18.94","0107","0619","010716","061915","11170321","2011"
"-15.48","-13.33","-13.32","-18.56","-18.82","0903","0402","090311","040209","11170321","2012"
"-14.39","-12.84","-12.82","-16.41","-16.60","0925","0325","092511","032510","11170321","2013"
"-14.44","-13.13","-13.04","-17.10","-17.17","0923","0428","010401","042724","11170321","2014"
"-14.94","-12.68","-12.67","-17.75","-17.96","1231","0323","102403","032309","11170321","2015"
"-11.94","-10.30","-10.29","-13.51","-13.60","1020","0127","102015","012709","11170321","2016"
"-12.58","-11.16","-11.14","-14.64","-14.78","0913","0213","091317","021310","11170321","2017"
"-13.81","-12.45","-12.41","-17.69","-17.83","0929","0507","093003","050709","11170321","2018"
"-13.11","-10.67","-10.65","-15.43","-15.55","0914","0602","091315","060307","11170321","2019"
"-24.68","-23.00","-22.99","-27.48","-27.49","1211","0118","121112","011810","11180111","1997"
"-22.41","-19.88","-19.86","-24.85","-24.86","1104","0114","110419","011415","11180111","1998"
"-19.26","-17.42","-17.41","-21.24","-21.22","1203","0412","120323","070202","11180111","1999"
"-16.06","-14.94","-14.93","-17.91","-17.91","1207","0131","120704","013018","11180111","2000"
"-15.09","-14.83","-14.72","-15.59","-15.61","0919","1231","091823","123102","11180111","2001"
"-16.34","-15.57","-15.52","-17.21","-17.23","0102","1111","010309","111115","11180111","2002"
"-16.92","-16.31","-16.28","-17.53","-17.58","1015","0726","101509","072601","11180111","2003"
"-16.61","-15.50","-15.47","-19.92","-32.77","1231","0519","123124","051911","11180111","2004"
"-14.91","-14.16","-14.14","-16.60","-16.63","1202","0125","120108","012515","11180111","2005"
"-13.47","-12.73","-12.72","-14.34","-14.36","1125","0113","120105","051613","11180111","2006"
"-11.80","-10.92","-10.91","-12.79","-12.80","1007","0117","100704","010101","11180111","2007"
"-11.29","-10.62","-10.62","-12.09","-12.09","0401","0124","040102","012412","11180111","2008"
"-10.37","-9.73","-9.72","-11.04","-11.10","1021","0530","102216","041921","11180111","2009"
"-10.95","-9.96","-9.95","-12.60","-12.62","0101","0510","010101","051021","11180111","2010"
"-10.61","-9.82","-9.74","-11.74","-11.77","0929","0223","101714","022306","11180111","2011"
"-9.88","-8.95","-8.91","-10.94","-10.95","0930","0123","093014","012301","11180111","2012"
"-9.29","-8.42","-8.41","-10.45","-10.47","0930","0119","082920","011909","11180111","2013"
"-8.69","-8.00","-7.99","-9.24","-9.25","1004","0123","100413","012403","11180111","2014"
"3.86","3.98","3.98","3.62","3.61","1214","0801","092906","080111","11180112","2015"
"4.73","5.41","5.43","3.95","3.95","0415","0101","041508","010101","11180112","2016"
"4.44","4.67","4.67","4.21","4.21","1118","0515","111715","051402","11180112","2017"
"4.48","4.83","4.84","4.16","4.16","0209","0701","021015","070101","11180112","2018"
"4.57","4.99","4.99","4.25","4.24","1230","0415","122908","041523","11180112","2019"
"-21.95","-20.21","-20.12","-34.73","-23.46","1210","0109","121107","042304","11180121","1997"
"-19.50","-17.62","-17.59","-22.29","-22.47","1230","0113","123005","011316","11180121","1998"
"-17.67","-16.07","-16.05","-20.85","-20.88","1224","0505","122508","050515","11180121","1999"
"-15.07","-14.17","-14.14","-16.21","-16.24","1206","0202","120703","020118","11180121","2000"
"-14.54","-14.15","-13.95","-15.09","-15.28","0919","1230","091824","122023","11180121","2001"
"-15.67","-14.80","-14.77","-16.70","-16.98","0207","1105","020508","110519","11180121","2002"
"-16.20","-15.46","-15.35","-17.78","-17.97","0925","0725","100807","072514","11180121","2003"
"-15.81","-14.08","-13.95","-18.44","-25.84","1028","0519","102910","051912","11180121","2004"
"-14.15","-13.42","-13.40","-15.71","-15.73","1130","0120","113009","012012","11180121","2005"
"-12.81","-12.02","-11.98","-13.83","-13.86","1130","0410","113023","041008","11180121","2006"
"-11.20","-10.20","-10.17","-12.28","-12.31","1007","0117","100705","011712","11180121","2007"
"-10.60","-10.16","-10.16","-11.56","-11.68","1204","0119","120404","011913","11180121","2008"
"-9.88","-9.08","-8.88","-11.06","-12.25","0809","0211","080824","021114","11180121","2009"
"-10.68","-9.52","-9.51","-13.12","-13.16","0101","0621","010101","062104","11180121","2010"
"-10.24","-9.43","-9.34","-11.97","-12.05","0916","0222","091613","022304","11180121","2011"
"-9.68","-8.57","-8.52","-10.87","-11.06","0929","0216","092913","021606","11180121","2012"
"-8.98","-8.05","-7.93","-10.27","-10.37","0929","0119","082920","011903","11180121","2013"
"-8.40","-7.64","-7.63","-9.02","-9.08","1004","0429","100413","012107","11180121","2014"
"5.90","6.06","6.07","5.46","5.44","1221","0806","122106","080624","11180122","2015"
"6.60","7.23","7.42","4.72","4.61","0928","0207","092724","020608","11180122","2016"
"6.86","7.06","7.16","6.61","6.60","0731","0513","073110","051312","11180122","2017"
"6.42","6.79","6.80","5.88","5.87","0115","0605","011606","060613","11180122","2018"
"6.73","7.30","7.32","6.16","6.15","0920","0305","091018","030422","11180122","2019"
"10.01","14.49","14.50","5.94","5.17","0907","0512","090714","051213","11190111","1997"
"11.16","14.33","14.34","7.39","6.92","0611","0131","061019","013116","11190111","1998"
"10.29","14.62","14.63","6.43","5.78","0813","0428","081315","042511","11190111","1999"
"9.82","14.29","14.29","6.69","5.92","0826","0517","082603","051711","11190111","2000"
"10.50","14.44","14.45","6.26","5.55","0908","0428","090715","050614","11190111","2001"
"9.59","13.64","13.65","6.54","6.11","0808","0511","080816","051108","11190111","2002"
"9.23","11.16","11.17","7.28","7.01","0823","0513","082316","051312","11190111","2003"
"8.37","10.44","10.47","6.29","5.61","0919","0515","092223","051810","11190111","2004"
"10.62","14.55","14.56","6.96","6.47","0822","0505","082217","050509","11190111","2005"
"10.55","14.52","14.54","7.72","7.12","0717","0409","071706","033014","11190111","2006"
"10.91","14.74","14.75","7.70","7.19","0822","0503","082118","032710","11190111","2007"
"11.43","14.68","14.70","7.92","7.52","0930","0516","093004","051609","11190111","2008"
"11.02","14.60","14.61","8.60","7.90","0811","0515","081113","051213","11190111","2009"
"10.96","14.68","14.70","7.52","7.07","0911","0520","091104","042112","11190111","2010"
"10.58","13.41","13.43","7.67","7.17","0903","0512","090206","061009","11190111","2011"
"11.31","14.72","14.74","8.17","7.58","0811","0415","081113","042311","11190111","2012"
"10.69","14.85","14.87","7.77","7.12","0831","0317","083115","030314","11190111","2013"
"10.09","14.20","14.22","7.71","7.03","0814","0428","081417","042812","11190111","2014"
"10.45","14.70","14.72","6.77","5.92","0901","0508","090106","050817","11190111","2015"
"12.46","14.85","14.86","9.40","8.92","0908","0308","090721","030319","11190111","2016"
"10.62","14.58","14.59","7.69","7.17","0803","0511","080217","050321","11190111","2017"
"10.00","14.76","14.77","6.59","5.98","0829","0601","082917","051721","11190111","2018"
"10.62","14.76","14.77","7.08","6.50","0819","0414","081906","041420","11190111","2019"
"-23.91","-22.36","-22.34","-25.35","-25.35","0930","0601","093010","053103","11190121","1997"
"-22.77","-21.20","-21.16","-24.04","-24.06","0202","0524","020212","052324","11190121","1998"
"-23.09","-20.90","-20.88","-25.17","-25.19","0105","0501","010417","050107","11190121","1999"
"-23.88","-22.12","-22.09","-25.75","-25.36","0104","0611","010411","070113","11190121","2000"
"-23.50","-22.06","-22.01","-25.07","-32.08","0129","0331","012909","050710","11190121","2001"
"-24.05","-21.95","-21.95","-25.83","-25.85","0111","0517","011112","051711","11190121","2002"
"-24.20","-21.65","-21.64","-26.03","-26.55","0207","0531","020711","081418","11190121","2003"
"-23.90","-21.95","-21.91","-25.63","-28.60","0127","0521","012705","052111","11190121","2004"
"-21.44","-18.26","-18.26","-23.59","-23.61","1231","0501","123012","050102","11190121","2005"
"-17.12","-14.85","-14.82","-19.37","-19.40","1011","0413","101109","041311","11190121","2006"
"-14.52","-13.25","-13.24","-15.80","-15.83","1010","0428","101007","042824","11190121","2007"
"-12.84","-11.19","-11.16","-14.23","-14.26","1221","0201","123119","013122","11190121","2008"
"-11.52","-10.59","-10.58","-12.56","-12.56","0201","0523","020110","052304","11190121","2009"
"-11.62","-10.36","-10.24","-13.06","-13.07","1124","0528","122915","052812","11190121","2010"
"-11.30","-10.31","-10.22","-12.24","-12.27","0103","0519","020816","043008","11190121","2011"
"-10.52","-9.20","-9.09","-11.94","-11.97","1228","0428","122815","042808","11190121","2012"
"-9.45","-8.59","-8.56","-10.42","-10.47","1231","0330","123124","033103","11190121","2013"
"-9.03","-8.24","-8.23","-10.10","-10.12","0929","0329","092904","032824","11190121","2014"
"-9.17","-7.16","-7.11","-10.92","-10.94","0831","0512","083115","051122","11190121","2015"
"-7.06","-5.87","-5.85","-8.13","-8.14","1205","0205","120513","020501","11190121","2016"
"-7.07","-6.01","-5.97","-8.11","-8.14","0103","0415","010311","041509","11190121","2017"
"-7.52","-6.63","-6.62","-9.06","-9.07","1211","0602","121107","060209","11190121","2018"
"-6.67","-5.56","-5.54","-7.88","-7.90","1013","0418","101316","041902","11190121","2019"
"1.62","1.91","2.03","1.19","1.18","0823","1226","082302","122613","11190211","2000"
"1.07","1.51","1.52","0.57","0.48","1205","0430","120420","043016","11190211","2001"
"1.12","1.47","1.49","0.71","0.70","0117","0509","010101","050912","11190211","2002"
"0.68","1.16","1.19","0.30","0.30","0101","1229","010101","122813","11190211","2003"
"-0.13","0.39","0.40","-0.47","-0.68","0101","1228","010105","051916","11190211","2004"
"-0.82","-0.47","-0.47","-1.14","-1.14","0101","0607","010101","060616","11190211","2005"
"0.16","0.89","0.89","-0.70","-0.71","1226","0101","122520","010101","11190211","2006"
"1.41","2.41","2.42","0.77","0.76","1229","0108","122919","010812","11190211","2007"
"3.14","4.20","4.21","2.25","2.24","1229","0102","122907","010210","11190211","2008"
"4.81","5.28","5.30","4.11","4.10","0808","0113","080804","011313","11190211","2009"
"5.46","6.00","6.01","5.08","5.07","1212","0114","121217","011408","11190211","2010"
"6.15","6.47","6.49","5.57","5.57","0829","0726","082906","072309","11190211","2011"
"6.66","7.36","7.36","6.30","6.30","1230","0328","122916","032711","11190211","2012"
"6.66","7.53","7.54","5.80","5.78","0406","0424","040605","042412","11190211","2013"
"7.10","8.00","8.02","6.56","6.55","0921","0726","092111","072623","11190211","2014"
"7.65","8.10","8.11","7.47","7.47","1224","0728","122416","072709","11190211","2015"
"8.07","8.95","9.43","7.39","6.52","0206","0514","020607","042514","11190211","2016"
"8.94","9.29","9.31","8.68","8.67","1118","0518","111715","051821","11190211","2017"
"8.96","9.46","9.48","8.39","8.37","1226","0605","122616","060523","11190211","2018"
"9.67","10.38","10.40","9.32","9.31","1226","0413","122616","041223","11190211","2019"
"1.67","1.93","1.94","1.05","0.98","1202","1220","110103","122018","11190221","2000"
"1.38","2.29","2.30","0.62","0.39","1217","0506","121715","050221","11190221","2001"
"1.90","2.12","2.18","1.21","1.10","0117","0513","020504","042310","11190221","2002"
"1.30","2.04","2.05","0.61","0.58","0101","1231","010101","123111","11190221","2003"
"0.07","0.72","0.75","-0.80","-0.87","0119","1230","012003","123015","11190221","2004"
"-0.47","0.65","0.65","-1.29","-1.38","1204","0420","120316","050314","11190221","2005"
"1.48","2.75","2.77","0.43","0.14","1225","0329","122517","020919","11190221","2006"
"3.24","4.52","4.55","2.26","1.98","1219","0320","122114","010822","11190221","2007"
"5.46","6.90","6.93","4.09","3.82","1221","0103","122906","010311","11190221","2008"
"7.53","7.95","7.96","6.66","6.33","1225","0103","122514","010318","11190221","2009"
"7.84","8.18","8.19","7.41","7.08","1222","0318","122116","031814","11190221","2010"
"8.24","8.40","8.42","8.11","7.77","0829","1226","082906","031013","11190221","2011"
"8.23","8.95","8.95","7.77","7.43","1230","0423","122816","042315","11190221","2012"
"9.09","9.37","9.37","8.92","8.91","1217","0101","121705","011618","11190221","2013"
"9.20","9.45","9.45","8.95","8.77","0203","1231","020219","042413","11190221","2014"
"8.74","9.14","9.15","8.51","8.17","1224","0917","122416","042013","11190221","2015"
"9.71","10.81","10.83","9.03","9.01","1226","0101","122616","010119","11190221","2016"
"11.01","11.38","11.40","10.53","10.52","0907","1206","090709","120609","11190221","2017"
"11.03","11.48","11.49","10.63","10.28","1226","0715","122607","043012","11190221","2018"
"11.47","11.95","11.97","11.18","10.99","1226","0712","122617","022018","11190221","2019"
"4.80","5.64","5.93","4.31","4.30","1218","0516","121011","051620","11190231","2001"
"5.12","5.65","5.67","4.84","4.83","0113","1213","011215","121309","11190231","2002"
"4.25","4.90","4.91","3.67","3.66","0101","1228","010102","122824","11190231","2003"
"2.96","3.68","3.69","2.32","2.30","0101","1231","010104","123123","11190231","2004"
"2.58","3.92","3.93","1.81","1.80","1231","0526","123104","052311","11190231","2005"
"4.42","5.34","5.35","3.91","3.89","1225","0330","122617","033011","11190231","2006"
"5.81","7.09","7.09","5.31","5.30","1229","0101","122910","010101","11190231","2007"
"8.04","9.28","9.30","7.05","7.05","1230","0102","123016","010108","11190231","2008"
"9.68","10.05","10.06","9.26","9.25","1110","0103","122512","010301","11190231","2009"
"10.04","10.42","10.43","9.81","9.80","1212","0710","122116","071010","11190231","2010"
"10.09","10.46","10.47","9.69","9.66","0208","1225","020818","122424","11190231","2011"
"10.04","10.86","10.95","9.45","9.16","1216","0610","121616","061014","11190231","2012"
"10.86","11.25","11.26","10.63","10.62","1217","0804","121705","080410","11190231","2013"
"11.05","11.28","11.28","10.87","10.73","0203","1119","020220","120816","11190231","2014"
"10.59","11.00","11.07","10.28","10.27","0101","0802","010206","073011","11190231","2015"
"11.58","12.67","12.68","10.84","10.33","1227","0206","122616","020605","11190231","2016"
"12.75","12.92","12.94","12.60","12.59","1014","0718","101416","071821","11190231","2017"
"12.70","13.21","13.22","12.24","11.95","1030","0602","110115","082213","11190231","2018"
"13.11","13.60","13.61","12.75","12.74","1106","0606","110616","060614","11190231","2019"
"4.40","-999998.00","-999998.00","-999998.00","-999998.00","","","","","11190311","2000"
"5.20","9.88","9.89","0.20","-0.02","0921","0430","092109","042914","11190311","2001"
"4.59","8.89","8.89","0.85","0.79","0810","0514","080917","051412","11190311","2002"
"4.48","7.14","7.16","1.53","1.46","0825","0510","082304","051012","11190311","2003"
"3.82","7.19","7.19","0.93","0.87","0921","0519","092006","051318","11190311","2004"
"6.53","10.42","10.42","2.53","2.38","0822","0505","082121","050517","11190311","2005"
"6.60","10.39","10.42","2.66","2.58","0717","0406","071801","040616","11190311","2006"
"6.80","10.63","10.63","3.08","2.91","0822","0503","082207","050315","11190311","2007"
"7.28","10.57","10.60","2.60","2.44","1001","0518","100106","051816","11190311","2008"
"6.76","10.09","10.12","4.11","3.95","0814","0414","081409","041317","11190311","2009"
"6.74","10.57","10.59","2.75","2.61","0923","0513","092306","051013","11190311","2010"
"6.16","8.77","8.79","2.81","2.65","0905","0516","090504","051619","11190311","2011"
"7.30","10.73","10.76","3.43","3.19","0812","0415","081205","041517","11190311","2012"
"6.72","10.66","10.68","3.05","2.81","0901","0314","090120","031319","11190311","2013"
"6.35","9.90","9.92","3.04","2.89","0821","0429","082107","042916","11190311","2014"
"6.43","10.75","10.77","1.91","1.75","0901","0516","090107","051621","11190311","2015"
"8.48","11.01","11.02","5.32","5.17","0909","0605","090904","060515","11190311","2016"
"6.62","10.31","10.32","2.78","2.48","0804","0515","080405","051416","11190311","2017"
"5.87","10.68","10.69","1.39","1.17","0831","0601","083108","060221","11190311","2018"
"5.84","10.44","10.46","2.13","1.96","0821","0410","082204","041020","11190311","2019"
"-14.20","-13.81","-13.81","-15.64","-14.34","0915","0810","091415","122810","11190321","2000"
"-15.15","-14.19","-14.19","-17.09","-17.12","0212","0509","021211","050822","11190321","2001"
"-15.79","-14.93","-14.93","-16.80","-16.81","0218","0609","021805","060610","11190321","2002"
"-16.99","-14.72","-14.71","-18.64","-19.55","0209","0531","021017","083124","11190321","2003"
"-18.15","-16.15","-16.14","-21.69","-21.94","0127","0430","012711","042916","11190321","2004"
"-18.58","-15.78","-15.78","-21.86","-22.01","1230","0629","123016","062816","11190321","2005"
"-14.78","-12.92","-12.36","-15.98","-15.99","0714","1229","072512","122910","11190321","2006"
"-16.07","-14.47","-13.11","-17.21","-17.23","0813","0601","081312","060107","11190321","2007"
"-15.84","-14.81","-14.80","-16.84","-16.85","1229","0526","122214","052610","11190321","2008"
"-14.99","-14.07","-14.05","-15.69","-15.71","0130","0522","013013","052218","11190321","2009"
"-15.00","-13.93","-13.90","-16.14","-16.17","1128","0530","112901","052923","11190321","2010"
"-14.33","-13.54","-13.45","-15.05","-15.09","0208","0520","020815","052024","11190321","2011"
"-13.63","-12.52","-12.47","-14.77","-14.80","0910","0427","091014","042707","11190321","2012"
"-12.32","-11.43","-11.37","-13.42","-13.44","1209","0329","123115","032902","11190321","2013"
"-11.46","-10.74","-10.69","-12.25","-12.27","0929","0430","092916","050103","11190321","2014"
"-11.74","-10.69","-10.65","-12.78","-12.79","1214","0520","121415","052011","11190321","2015"
"-9.70","-8.86","-8.84","-10.82","-10.87","1011","0101","101106","010106","11190321","2016"
"-9.62","-8.81","-8.79","-10.39","-10.40","0202","0421","020211","042024","11190321","2017"
"-9.99","-9.16","-9.12","-10.92","-10.93","0220","0607","022108","060717","11190321","2018"
"-9.19","-8.27","-8.26","-10.12","-10.13","1013","0426","101317","042613","11190321","2019"
"-21.64","-20.55","-20.54","-22.57","-22.58","1209","0517","120516","051720","11190331","2001"
"-21.66","-20.67","-20.66","-22.54","-31.59","0116","0701","011614","122312","11190331","2002"
"-22.14","-20.75","-20.74","-23.02","-23.02","0213","0605","021415","060503","11190331","2003"
"-22.18","-21.61","-21.59","-24.96","-31.61","0202","0429","020415","042910","11190331","2004"
"-20.50","-18.39","-18.38","-21.82","-21.83","1231","0101","123116","010101","11190331","2005"
"-17.20","-15.87","-15.86","-18.37","-18.38","1231","0101","123114","010101","11190331","2006"
"-15.02","-13.91","-13.90","-15.85","-15.87","1228","0101","122913","010101","11190331","2007"
"-13.59","-12.57","-12.57","-14.21","-14.22","1231","0526","123014","052613","11190331","2008"
"-12.43","-12.13","-12.13","-12.91","-13.15","0307","0714","021307","071317","11190331","2009"
"-12.45","-11.80","-11.79","-13.00","-13.00","1205","0606","120516","060520","11190331","2010"
"-12.07","-11.66","-11.65","-12.57","-12.73","0217","0619","021708","060914","11190331","2011"
"-11.51","-10.95","-10.90","-12.06","-12.07","1228","0519","122914","060708","11190331","2012"
"-10.73","-10.21","-10.20","-11.14","-11.15","1216","0515","121614","051211","11190331","2013"
"-10.30","-9.79","-9.78","-10.90","-10.91","1007","0503","100714","050312","11190331","2014"
"-10.53","-9.75","-9.73","-11.31","-11.33","1223","0520","122316","052013","11190331","2015"
"-8.61","-7.64","0.00","-9.77","-9.77","1218","0101","071212","010101","11190331","2016"
"-8.20","-7.61","-7.60","-8.78","-8.79","0108","0523","010813","052308","11190331","2017"
"-8.61","-7.96","-7.96","-9.36","-9.37","0108","0610","010715","061008","11190331","2018"
"-8.06","-7.29","-7.28","-8.68","-8.70","1230","0428","123013","042810","11190331","2019"
"-15.74","-14.95","-14.94","-16.42","-16.43","1204","0401","120415","040107","11190341","2001"
"-15.66","-14.90","-14.89","-16.18","-16.19","0110","1125","011014","111721","11190341","2002"
"-16.71","-15.63","-15.62","-17.45","-17.79","0211","0601","021114","080813","11190341","2003"
"-17.29","-16.64","-16.63","-19.49","-27.12","0201","0429","020114","042913","11190341","2004"
"-15.90","-13.81","-13.80","-17.08","-17.69","1231","0101","123115","062816","11190341","2005"
"-12.71","-11.33","-11.33","-13.79","-13.82","1231","0101","123101","041309","11190341","2006"
"-10.74","-9.60","-9.59","-11.58","-11.59","1114","0519","111417","051912","11190341","2007"
"-9.21","-8.52","-8.51","-10.08","-10.09","1219","0524","122014","052414","11190341","2008"
"-8.22","-7.72","-7.59","-8.62","-8.63","0812","0426","080302","042609","11190341","2009"
"-8.60","-7.78","-7.77","-16.12","-17.32","0103","0130","010319","012824","11190341","2010"
"-8.12","-7.63","-7.56","-8.56","-8.75","1229","0517","122915","060914","11190341","2011"
"-7.42","-6.70","-6.65","-8.11","-8.13","1229","0427","122914","042907","11190341","2012"
"-6.40","-5.78","-5.77","-6.91","-6.92","1208","0331","120814","040104","11190341","2013"
"-5.79","-5.24","-5.23","-6.32","-6.33","0930","0404","093014","040422","11190341","2014"
"-6.22","-5.48","-5.46","-6.84","-6.86","0105","0517","010517","052012","11190341","2015"
"-5.01","-3.70","-3.69","-5.96","-5.96","1230","0101","123018","010101","11190341","2016"
"-4.11","-3.66","-3.65","-4.66","-4.67","0104","0519","010414","051820","11190341","2017"
"-4.49","-3.84","-3.82","-5.19","-5.20","0102","0610","010218","061009","11190341","2018"
"-4.26","-3.45","-3.45","-4.93","-4.94","1231","0418","123008","041811","11190341","2019"
"-13.28","-12.72","-12.69","-14.24","-14.46","0815","0903","081524","090218","11200111","1999"
"-12.82","-10.72","-10.69","-14.83","-14.86","1127","0518","112707","051821","11200111","2000"
"-10.82","-9.16","-9.12","-13.04","-13.07","1008","0322","100809","032221","11200111","2001"
"-12.18","-9.58","-9.57","-15.21","-15.21","0102","0515","010208","051422","11200111","2002"
"-11.88","-10.59","-10.54","-13.90","-13.95","1013","0515","101307","051517","11200111","2003"
"-11.85","-10.79","-10.77","-15.07","-15.09","1220","0519","122009","051916","11200111","2004"
"-11.17","-10.19","-10.17","-12.90","-12.91","1121","0527","112111","052703","11200111","2005"
"-10.21","-8.97","-8.94","-12.01","-12.02","1120","0410","112009","040923","11200111","2006"
"-8.35","-6.48","-6.47","-10.62","-10.64","1031","0203","110209","021024","11200111","2007"
"-6.35","-4.45","-4.45","-8.73","-8.73","1218","0517","121708","051623","11200111","2008"
"-6.47","-4.61","-4.61","-8.07","-8.09","0101","0416","010101","041523","11200111","2009"
"-6.02","-4.62","-4.59","-8.25","-8.27","0811","0212","081207","021217","11200111","2010"
"-5.22","-3.70","-3.69","-7.18","-7.20","1224","0531","122416","053121","11200111","2011"
"-3.93","-2.41","-2.39","-6.09","-6.09","1230","0426","123106","042603","11200111","2012"
"-3.19","-1.71","-1.69","-5.21","-5.22","0930","0512","100703","051122","11200111","2013"
"-2.66","-1.28","-1.26","-4.74","-4.75","0929","0501","092906","050112","11200111","2014"
"-2.65","-0.18","-0.18","-5.68","-5.69","1109","0511","110902","051119","11200111","2015"
"-0.94","0.09","0.10","-2.96","-2.98","0401","0521","040107","052119","11200111","2016"
"-2.04","-0.44","-0.43","-4.42","-4.43","1122","0412","112307","041123","11200111","2017"
"-2.05","-0.32","-0.31","-4.62","-4.63","1107","0505","110806","050613","11200111","2018"
"-0.61","1.38","1.40","-3.20","-3.22","1012","0214","101117","021416","11200111","2019"
"-27.13","-26.12","-25.87","-28.12","-28.34","0914","1029","091409","102916","11200121","2000"
"-27.68","-25.78","-25.02","-30.57","-30.74","1002","0323","112723","032316","11200121","2001"
"-28.61","0.00","-26.48","-32.11","-32.40","0101","0510","011009","051018","11200121","2002"
"-28.57","-26.30","-26.19","-31.59","-31.82","0204","0510","020509","051012","11200121","2003"
"-27.78","-25.48","-25.33","-30.36","-30.46","1228","0519","122808","051921","11200121","2004"
"-25.10","-22.69","-22.55","-28.15","-28.26","1227","0129","122710","012917","11200121","2005"
"-21.28","-18.87","-18.80","-24.64","-24.78","1011","0405","101108","040521","11200121","2006"
"-18.38","-16.93","-16.80","-20.45","-20.55","1025","0429","102506","042824","11200121","2007"
"-16.73","-14.67","-14.60","-19.17","-19.31","1217","0519","121808","051820","11200121","2008"
"-15.26","-13.71","-13.60","-17.04","-17.08","0810","0514","081008","051418","11200121","2009"
"-15.05","-13.29","-13.20","-17.68","-17.76","1221","0521","112210","052118","11200121","2010"
"-14.34","-12.64","-12.61","-17.04","-17.10","1219","0511","121913","051121","11200121","2011"
"-12.87","-11.38","-11.34","-15.07","-15.17","1224","0414","122405","041620","11200121","2012"
"-11.80","-10.60","-10.57","-13.75","-13.92","0922","0209","092107","020921","11200121","2013"
"-11.70","-10.53","-10.52","-13.66","-13.82","0923","0430","092306","042820","11200121","2014"
"-12.35","-10.30","-10.27","-15.54","-15.60","1221","0510","122107","051015","11200121","2015"
"-9.46","-8.16","-8.13","-11.77","-11.82","1010","0510","101014","051014","11200121","2016"
"-9.80","-8.56","-8.54","-12.10","-12.19","1029","0411","102915","041119","11200121","2017"
"-10.19","-8.74","-8.71","-13.10","-13.21","1105","0507","110515","050720","11200121","2018"
"-8.88","-7.08","-7.06","-11.55","-11.63","0917","0202","091720","041417","11200121","2019"
"-25.76","-25.50","-25.48","-26.09","-26.11","1201","1231","120115","123119","11200131","2000"
"-26.15","-24.55","-24.53","-28.61","-39.65","1214","0326","121418","043011","11200131","2001"
"-26.93","-25.04","-25.02","-29.90","-29.92","0105","0516","010513","051623","11200131","2002"
"-26.91","-25.52","-25.50","-29.44","-29.45","1205","0517","120515","051712","11200131","2003"
"-26.42","-24.63","-24.61","-31.57","-39.67","1230","0512","123115","051215","11200131","2004"
"-23.99","-21.74","-21.72","-26.10","-26.11","1230","0205","123116","020519","11200131","2005"
"-20.49","-18.23","-18.22","-33.04","-34.21","1231","1003","123114","100404","11200131","2006"
"-17.52","-16.22","-16.21","-19.14","-19.14","1031","0211","110912","021016","11200131","2007"
"-16.08","-14.05","-14.05","-17.91","-17.93","1212","0521","121210","052211","11200131","2008"
"-14.28","-13.17","-13.16","-15.69","-15.69","1016","0518","101615","051718","11200131","2009"
"-14.16","-12.50","-12.49","-16.39","-16.40","1230","0523","123013","052306","11200131","2010"
"-13.46","-11.67","-11.62","-15.68","-15.69","1229","0518","122916","051810","11200131","2011"
"-12.20","-10.84","-10.78","-14.07","-14.09","1228","0421","122816","042303","11200131","2012"
"-11.30","-10.13","-10.11","-12.90","-12.92","1231","0401","123108","040202","11200131","2013"
